2025-04-17 08:00:58,090 p=17812 u=dmeta n=ansible | ok: [arteva1]
2025-04-17 08:00:58,124 p=17812 u=dmeta n=ansible | TASK [config-file-permission : Add noexec Option to /var/log/audit: Create mount_info dictionary variable] ***
2025-04-17 08:00:58,125 p=17812 u=dmeta n=ansible | ok: [arteva1] => (item=['target', '/var/log/audit'])
2025-04-17 08:00:58,133 p=17812 u=dmeta n=ansible | ok: [arteva1] => (item=['source', '/dev/mapper/rl-var_log_audit'])
2025-04-17 08:00:58,140 p=17812 u=dmeta n=ansible | ok: [arteva1] => (item=['fstype', 'ext4'])
2025-04-17 08:00:58,148 p=17812 u=dmeta n=ansible | ok: [arteva1] => (item=['options', 'defaults,nodev'])
2025-04-17 08:00:58,208 p=17812 u=dmeta n=ansible | TASK [config-file-permission : Add noexec Option to /var/log/audit: Make sure noexec option is part of the to /var/log/audit options] ***
2025-04-17 08:00:58,208 p=17812 u=dmeta n=ansible | ok: [arteva1]
2025-04-17 08:00:58,953 p=17812 u=dmeta n=ansible | TASK [config-file-permission : Add noexec Option to /var/log/audit: Ensure /var/log/audit is mounted with noexec option] ***
2025-04-17 08:00:58,953 p=17812 u=dmeta n=ansible | changed: [arteva1]
2025-04-17 08:00:59,704 p=17812 u=dmeta n=ansible | TASK [config-file-permission : Add nosuid Option to /var/log/audit: Check information associated to mountpoint] ***
2025-04-17 08:00:59,704 p=17812 u=dmeta n=ansible | ok: [arteva1]
2025-04-17 08:00:59,737 p=17812 u=dmeta n=ansible | TASK [config-file-permission : Add nosuid Option to /var/log/audit: Create mount_info dictionary variable] ***
2025-04-17 08:00:59,737 p=17812 u=dmeta n=ansible | ok: [arteva1] => (item=['target', '/var/log/audit'])
2025-04-17 08:00:59,748 p=17812 u=dmeta n=ansible | ok: [arteva1] => (item=['source', '/dev/mapper/rl-var_log_audit'])
2025-04-17 08:00:59,755 p=17812 u=dmeta n=ansible | ok: [arteva1] => (item=['fstype', 'ext4'])
2025-04-17 08:00:59,757 p=17812 u=dmeta n=ansible | ok: [arteva1] => (item=['options', 'defaults,nodev,noexec'])
2025-04-17 08:00:59,819 p=17812 u=dmeta n=ansible | TASK [config-file-permission : Add nosuid Option to /var/log/audit: Make sure nosuid option is part of the to /var/log/audit options] ***
2025-04-17 08:00:59,819 p=17812 u=dmeta n=ansible | ok: [arteva1]
