카메라고유번호,역사명,역사아이디,카메라명,카메라아이피,NVR RTSP주소,제조사명,모델명,장애상태코드
104001,양산시청,104,PSD-U1-1,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114715/2/media.smp,,,
104002,양산시청,104,PSD-U1-2,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114716/2/media.smp,,,
104003,양산시청,104,PSD-U2-1,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114717/2/media.smp,,,
104004,양산시청,104,PSD-U2-2,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114718/2/media.smp,,,
104005,양산시청,104,PSD-D1-1,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114719/2/media.smp,,,
104006,양산시청,104,PSD-D1-2,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114720/2/media.smp,,,
104007,양산시청,104,PSD-D2-1,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114721/2/media.smp,,,
104008,양산시청,104,PSD-D2-2,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114722/2/media.smp,,,
104009,양산시청,104,PSD-M1-1,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114723/2/media.smp,,,
104010,양산시청,104,PSD-M1-2,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114724/2/media.smp,,,
104011,양산시청,104,PSD-M2-2,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114725/2/media.smp,,,
104012,양산시청,104,P-U1,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114726/2/media.smp,,,
104013,양산시청,104,P-U2,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114727/2/media.smp,,,
104014,양산시청,104,P-U3,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114728/2/media.smp,,,
104015,양산시청,104,P-U4,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114729/2/media.smp,,,
104016,양산시청,104,P-D1,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114730/2/media.smp,,,
104017,양산시청,104,P-D2,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114731/2/media.smp,,,
104018,양산시청,104,P-D3,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114732/2/media.smp,,,
104019,양산시청,104,P-D4,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114733/2/media.smp,,,
104020,양산시청,104,상선 출입구(상행),7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114734/2/media.smp,,,
104021,양산시청,104,상선 출입구(하행),7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114735/2/media.smp,,,
104022,양산시청,104,하선 출입구(상행),7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114736/2/media.smp,,,
104023,양산시청,104,하선 출입구(하행),7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114737/2/media.smp,,,
104024,양산시청,104,출구-1,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114738/2/media.smp,,,
104025,양산시청,104,출구-2,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114739/2/media.smp,,,
104026,양산시청,104,G-1,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114740/2/media.smp,,,
104027,양산시청,104,G-2,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114741/2/media.smp,,,
104028,양산시청,104,G-3,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114742/2/media.smp,,,
104029,양산시청,104,G-4,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114743/2/media.smp,,,
104030,양산시청,104,환승통로-1,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114744/2/media.smp,,,
104031,양산시청,104,환승통로-2,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114745/2/media.smp,,,
104032,양산시청,104,비상탈출통로-1(101역 0K960Km),7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114746/2/media.smp,,,
104033,양산시청,104,"비상탈출통로-2(101역 0K960Km)""",7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114747/2/media.smp,,,
104034,양산시청,104,"비상탈출통로-3(102역 1K690Km)""",7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114748/2/media.smp,,,
104035,양산시청,104,비상계단-대합,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114749/2/media.smp,,,
104036,양산시청,104,비상계단-승강장,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114750/2/media.smp,,,
104037,양산시청,104,비상계단-중간,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114751/2/media.smp,,,
104038,양산시청,104,변전실-1,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114752/2/media.smp,,,
104039,양산시청,104,변전실-2,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114753/2/media.smp,,,
104040,양산시청,104,변전실-3,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114754/2/media.smp,,,
104041,양산시청,104,변전실-4,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114755/2/media.smp,,,
104042,양산시청,104,전기실-1,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114756/2/media.smp,,,
104043,양산시청,104,전기실-2,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114757/2/media.smp,,,
104044,양산시청,104,통신기기실,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114758/2/media.smp,,,
104045,양산시청,104,신호기기실,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114759/2/media.smp,,,
104046,양산시청,104,발매기,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114760/2/media.smp,,,
104047,양산시청,104,발매기실,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114761/2/media.smp,,,
104048,양산시청,104,화장실,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114762/2/media.smp,,,
104049,양산시청,104,여자 화장실,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114763/2/media.smp,,,
104050,양산시청,104,장애인 화장실,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114764/2/media.smp,,,
104051,양산시청,104,수유실,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114765/2/media.smp,,,
104052,양산시청,104,이용객쉼터,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114766/2/media.smp,,,
104053,양산시청,104,비상안내 카메라-1(101역 0K50Km),7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114767/2/media.smp,,,
104054,양산시청,104,비상안내 카메라-2(101역 0K360Km),7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114768/2/media.smp,,,
104055,양산시청,104,비상안내 카메라-3(101역 0K600Km),7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114769/2/media.smp,,,
104056,양산시청,104,비상안내 카메라-4,7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114770/2/media.smp,,,
104057,양산시청,104,비상안내 카메라-5(101역 1K384Km),7.104.3.22,rtsp://7.104.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114771/2/media.smp,,,
