카메라고유번호,역사명,역사아이디,카메라명,카메라아이피,NVR RTSP주소,제조사명,모델명,장애상태코드
106001,신기,106,PSD-U1-1,7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114965/2/media.smp,,,
106002,신기,106,PSD-U1-2,7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114966/2/media.smp,,,
106003,신기,106,PSD-U2-1,7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114967/2/media.smp,,,
106004,신기,106,PSD-U2-2,7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114968/2/media.smp,,,
106005,신기,106,PSD-D1-1,7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114969/2/media.smp,,,
106006,신기,106,PSD-D1-2,7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114970/2/media.smp,,,
106007,신기,106,PSD-D2-1,7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114971/2/media.smp,,,
106008,신기,106,PSD-D2-2,7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114972/2/media.smp,,,
106009,신기,106,PSD-M1-1,7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114973/2/media.smp,,,
106010,신기,106,PSD-M1-2,7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114974/2/media.smp,,,
106011,신기,106,PSD-M2-2,7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114975/2/media.smp,,,
106012,신기,106,P-U1,7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114976/2/media.smp,,,
106013,신기,106,P-U2,7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114977/2/media.smp,,,
106014,신기,106,P-U3,7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114978/2/media.smp,,,
106015,신기,106,P-U4,7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114979/2/media.smp,,,
106016,신기,106,P-D1,7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114980/2/media.smp,,,
106017,신기,106,P-D2,7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114981/2/media.smp,,,
106018,신기,106,P-D3,7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114982/2/media.smp,,,
106019,신기,106,P-D4,7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114983/2/media.smp,,,
106020,신기,106,상선 출입구(상행),7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114984/2/media.smp,,,
106021,신기,106,상선 출입구(하행),7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114985/2/media.smp,,,
106022,신기,106,하선 출입구(상행),7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114986/2/media.smp,,,
106023,신기,106,하선 출입구(하행),7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114987/2/media.smp,,,
106024,신기,106,출구-1,7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114988/2/media.smp,,,
106025,신기,106,출구-2,7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114989/2/media.smp,,,
106026,신기,106,G-1,7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114990/2/media.smp,,,
106027,신기,106,G-2,7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114991/2/media.smp,,,
106028,신기,106,G-3,7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114992/2/media.smp,,,
106029,신기,106,G-4,7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114993/2/media.smp,,,
106030,신기,106,환승통로-1,7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114994/2/media.smp,,,
106031,신기,106,환승통로-2,7.106.3.22,rtsp://7.106.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114995/2/media.smp,,,
