카메라고유번호,역사명,역사아이디,카메라명,카메라아이피,NVR RTSP주소,제조사명,모델명,장애상태코드
103040,내송,103,변전실-3,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114629/2/media.smp,,,
103041,내송,103,변전실-4,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114630/2/media.smp,,,
103042,내송,103,전기실-1,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114631/2/media.smp,,,
103043,내송,103,전기실-2,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114632/2/media.smp,,,
103044,내송,103,통신기기실,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114633/2/media.smp,,,
103045,내송,103,신호기기실,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114634/2/media.smp,,,
103046,내송,103,발매기,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114635/2/media.smp,,,
103047,내송,103,발매기실,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114636/2/media.smp,,,
103048,내송,103,화장실,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114637/2/media.smp,,,
103049,내송,103,여자 화장실,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114638/2/media.smp,,,
103050,내송,103,장애인 화장실,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114639/2/media.smp,,,
103051,내송,103,수유실,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114640/2/media.smp,,,
103052,내송,103,이용객쉼터,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114641/2/media.smp,,,
103053,내송,103,비상안내 카메라-1(101역 0K50Km),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114642/2/media.smp,,,
103054,내송,103,비상안내 카메라-2(101역 0K360Km),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114643/2/media.smp,,,
103055,내송,103,비상안내 카메라-3(101역 0K600Km),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114644/2/media.smp,,,
103056,내송,103,비상안내 카메라-4,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114645/2/media.smp,,,
103057,내송,103,비상안내 카메라-5(101역 1K384Km),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114646/2/media.smp,,,
103058,내송,103,비상안내 카메라-6,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114647/2/media.smp,,,
103059,내송,103,비상안내 카메라-7(102역 2K274Km),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114648/2/media.smp,,,
103060,내송,103,비상안내 카메라-8(103역 5K485Km),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114649/2/media.smp,,,
103061,내송,103,비상안내 카메라-9(103역 5K885Km),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114650/2/media.smp,,,
103062,내송,103,비상안내 카메라-10(103역 6K313Km),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114651/2/media.smp,,,
103063,내송,103,비상안내 카메라-11(차량기지 6K465Km),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114652/2/media.smp,,,
103064,내송,103,E/L-1 지상,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114653/2/media.smp,,,
103065,내송,103,E/L-1 대합,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114654/2/media.smp,,,
103066,내송,103,E/L-1 대합실,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114655/2/media.smp,,,
103067,내송,103,E/L-1 승강장,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114656/2/media.smp,,,
103068,내송,103,E/L-2 지상,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114657/2/media.smp,,,
103069,내송,103,E/L-2 대합,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114658/2/media.smp,,,
103070,내송,103,E/L-2 대합실,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114659/2/media.smp,,,
103071,내송,103,E/L-3 지상,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114660/2/media.smp,,,
103072,내송,103,E/L-3 환승,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114661/2/media.smp,,,
103073,내송,103,E/L-3 대합,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114662/2/media.smp,,,
103074,내송,103,E/L-3 대합실,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114663/2/media.smp,,,
103075,내송,103,E/L-3 승강장,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114664/2/media.smp,,,
103076,내송,103,E/L-4 대합,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114665/2/media.smp,,,
103077,내송,103,E/L-4 승강장,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114666/2/media.smp,,,
103078,내송,103,E/S-1 지상,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114667/2/media.smp,,,
103079,내송,103,E/S-1 대합,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114668/2/media.smp,,,
103080,내송,103,E/S-1 환승,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114669/2/media.smp,,,
103081,내송,103,E/S-1 중간,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114670/2/media.smp,,,
103082,내송,103,E/S-1 승강장,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114671/2/media.smp,,,
103083,내송,103,E/S-2 지상,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114672/2/media.smp,,,
103084,내송,103,E/S-2 대합,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114673/2/media.smp,,,
103085,내송,103,E/S-2 중간,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114674/2/media.smp,,,
103086,내송,103,E/S-2 승강,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114675/2/media.smp,,,
103087,내송,103,E/S-2 승강장,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114676/2/media.smp,,,
103088,내송,103,E/S-3 지상,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114677/2/media.smp,,,
103089,내송,103,E/S-3 대합,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114678/2/media.smp,,,
103090,내송,103,E/S-3 중간,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114679/2/media.smp,,,
103091,내송,103,E/S-3 승강장,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114680/2/media.smp,,,
103092,내송,103,E/S-4 지상,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114681/2/media.smp,,,
103093,내송,103,E/S-4 대합,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114682/2/media.smp,,,
103094,내송,103,E/S-4 중간,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114683/2/media.smp,,,
103095,내송,103,E/S-4 승강장,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114684/2/media.smp,,,
103096,내송,103,E/S-5 지상,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114685/2/media.smp,,,
103097,내송,103,E/S-5 대합,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114686/2/media.smp,,,
103098,내송,103,선로전환기 카메라-1(101역 0K113Km),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114687/2/media.smp,,,
103099,내송,103,선로전환기 카메라-2(101역 1신호장 0K960Km),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114688/2/media.smp,,,
