idx,station_name,station_id,camera_name,camera_ipaddr,nvr_rtsp_url,manufacturer,model,status
735,신기,106,E/S-1 승강,7.106.3.172,rtsp://7.106.3.22:4515/66d3e512-77ac-453c-95b1-56936accb900/1/media.smp,,,
737,신기,106,E/S-2 중간,7.106.3.173,rtsp://7.106.3.22:4515/d0c25473-42ec-4200-9c29-3ceabf529435/1/media.smp,,,
739,신기,106,E/S-2 중간(하부),7.106.3.174,rtsp://7.106.3.22:4515/317c1391-cfc0-4381-bd36-721b042ca436/1/media.smp,,,
741,신기,106,E/S-2 중간(상부),7.106.3.174,rtsp://7.106.3.22:4515/6f1db636-4dfb-4acd-b491-58e9136d0633/1/media.smp,,,
743,신기,106,E/S-3 대합,7.106.3.175,rtsp://7.106.3.22:4515/a5e27502-5661-4227-b893-c729ec529e33/1/media.smp,,,
745,신기,106,E/S-3 중간(상부),7.106.3.176,rtsp://7.106.3.22:4515/10a19580-fb84-40f9-84e9-1ef81bf58da7/1/media.smp,,,
747,신기,106,E/S-3 중간(하부),7.106.3.176,rtsp://7.106.3.22:4515/c758ee2c-1af6-4042-9643-1c5168a268de/1/media.smp,,,
749,신기,106,E/S-4 중간,7.106.3.177,rtsp://7.106.3.22:4515/042c8dec-3fc2-431f-9468-31e3f632de65/1/media.smp,,,
751,신기,106,E/S-4 지상(상부),7.106.3.178,rtsp://7.106.3.22:4515/c183d62c-8ab3-41ed-9b77-ff08aee3fa65/1/media.smp,,,
753,신기,106,E/S-4 지상(하부),7.106.3.178,rtsp://7.106.3.22:4515/baa9bc31-6db0-4db7-b563-095ad593802c/1/media.smp,,,
755,신기,106,E/S-5 지상(상부),7.106.3.180,rtsp://7.106.3.22:4515/ec24b3c0-9561-489a-b8e9-0becc1032c6b/1/media.smp,,,
757,신기,106,E/S-5 지상(하부),7.106.3.180,rtsp://7.106.3.22:4515/fd5d6a5b-2c7a-4b75-bc27-04a21df637c3/1/media.smp,,,
759,신기,106,E/S-5 대합,7.106.3.179,rtsp://7.106.3.22:4515/fd66eefd-6dd3-4152-a6be-f1601eb39385/1/media.smp,,,
761,신기,106,선로전환기-22,7.106.3.71 ,rtsp://7.106.3.22:4515/50d3aeab-156a-4047-9dc8-defe79fc3fc4/1/media.smp,,,
763,신기,106,선로전환기-23,7.106.3.72 ,rtsp://7.106.3.22:4515/e93badd3-d95e-4137-862b-77a35ba35e85/1/media.smp,,,
765,신기,106,E/L-1호기-EL내부,7.106.3.207,,,,
767,신기,106,E/L-2호기-EL내부,7.106.3.208,,,,
769,신기,106,E/L-3호기-EL내부,7.106.3.209,,,,
